provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pulo Sepang
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Rih Mbelang
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kute Batu Baru
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Darul Amin
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Lawe Lubang Indah
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Batu Hamparan
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Paye Munje
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pulo Ndadap
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pasir Nunggul
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Cingkham Mekhanggun
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pintu Khimbe
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Lawe Kongker Hilir
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pulo Gadung
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pasikh Pehkmate
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pasikh Nunang
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Deleng Kukusen
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Bukit Merdeka
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Darul Aman
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Kesumpat
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Tua Gabungan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Sigala II
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Sigala Timur
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Sigala Barat
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Suka Damai
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Kute Tengah
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Tanah Baru
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Kedataran Gabungan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Gabungan Parsaroan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Loning Gabungan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Loning Aman
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Suka Maju
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Tua Makmur
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Tua Persatuan
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Serke
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Rakat
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Suka Jaya
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Enmiya Batu Dua Ratus
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Sebungke
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Bukit Sepakat
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Loning Sepakat
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Loning I
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Gaya Jaya
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Gelah Musara
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Mulie Dame
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Lawe Loning Hakhapen
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Karya Indah
ACEH,KAB. ACEH TENGGARA,Lawe Sigala-Gala,Kayu Mbelin
